tourney_start_date,tourney_sack,surface_sack,round_sack,winner_name,loser_name,score,tourney_td,Location,surface_td,round_td,winner_td,loser_td,match_date_td,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,key_city_players,key_city_round_players,key_cityonly_players,key_cityonly_round_players,tkey_city,city_key,players_sorted,rnd_canon,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_key,l_key
2017-01-16,Australian Open,Hard,R128,Grigor Dimitrov,Christopher Oconnell,7-6(2) 6-3 6-3,,,,,,,,,,,,,,,,,,,,melbourne_hard__c oconnell__g dimitrov,melbourne_hard__R128__c oconnell__g dimitrov,melbourne__c oconnell__g dimitrov,melbourne__R128__c oconnell__g dimitrov,melbourne_hard,melbourne,c oconnell__g dimitrov,R128,105777,15.0,,Grigor Dimitrov,R,191.0,BUL,25.6,106331,,,Christopher Oconnell,R,183.0,AUS,22.6,5,121.0,15.0,0.0,81.0,47.0,46.0,21.0,15.0,0.0,0.0,6.0,1.0,110.0,64.0,44.0,23.0,15.0,10.0,13.0,15.0,2135.0,231.0,228.0,g dimitrov,c oconnell
2017-01-16,Australian Open,Hard,R64,Bernard Tomic,Victor Estrella,7-5 7-6(4) 4-6 7-6(5),,,,,,,,,,,,,,,,,,,,melbourne_hard__b tomic__v estrella,melbourne_hard__R64__b tomic__v estrella,melbourne__b tomic__v estrella,melbourne__R64__b tomic__v estrella,melbourne_hard,melbourne,b tomic__v estrella,R64,106071,27.0,,Bernard Tomic,R,196.0,AUS,24.2,103607,,,Victor Estrella,R,173.0,DOM,36.4,5,200.0,19.0,2.0,134.0,96.0,77.0,21.0,23.0,3.0,5.0,13.0,7.0,164.0,104.0,77.0,31.0,23.0,6.0,8.0,27.0,1420.0,103.0,586.0,b tomic,v estrella
2017-01-16,Australian Open,Hard,R64,Gael Monfils,Alexandr Dolgopolov,6-3 6-4 1-6 6-0,,,,,,,,,,,,,,,,,,,,melbourne_hard__a dolgopolov__g monfils,melbourne_hard__R64__a dolgopolov__g monfils,melbourne__a dolgopolov__g monfils,melbourne__R64__a dolgopolov__g monfils,melbourne_hard,melbourne,a dolgopolov__g monfils,R64,104792,6.0,,Gael Monfils,R,193.0,FRA,30.3,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,5,116.0,17.0,5.0,92.0,62.0,49.0,11.0,16.0,3.0,6.0,6.0,5.0,123.0,72.0,48.0,19.0,16.0,13.0,19.0,6.0,3625.0,69.0,715.0,g monfils,a dolgopolov
2017-01-16,Australian Open,Hard,R16,Mischa Zverev,Andy Murray,7-5 5-7 6-2 6-4,,,,,,,,,,,,,,,,,,,,melbourne_hard__a murray__m zverev,melbourne_hard__R16__a murray__m zverev,melbourne__a murray__m zverev,melbourne__R16__a murray__m zverev,melbourne_hard,melbourne,a murray__m zverev,R16,104999,,,Mischa Zverev,L,190.0,GER,29.4,104918,1.0,,Andy Murray,R,191.0,GBR,29.6,5,213.0,7.0,2.0,137.0,91.0,60.0,21.0,21.0,8.0,13.0,10.0,6.0,145.0,95.0,62.0,18.0,21.0,9.0,17.0,50.0,894.0,1.0,12560.0,m zverev,a murray
2017-01-16,Australian Open,Hard,R16,Roger Federer,Kei Nishikori,6-7(4) 6-4 6-1 4-6 6-3,,,,,,,,,,,,,,,,,,,,melbourne_hard__k nishikori__r federer,melbourne_hard__R16__k nishikori__r federer,melbourne__k nishikori__r federer,melbourne__R16__k nishikori__r federer,melbourne_hard,melbourne,k nishikori__r federer,R16,103819,17.0,,Roger Federer,R,185.0,SUI,35.4,105453,5.0,,Kei Nishikori,R,178.0,JPN,27.0,5,203.0,24.0,6.0,148.0,100.0,80.0,23.0,24.0,7.0,10.0,5.0,5.0,164.0,107.0,73.0,24.0,24.0,11.0,18.0,17.0,1980.0,5.0,5010.0,r federer,k nishikori
2017-01-16,Australian Open,Hard,R16,Stan Wawrinka,Andreas Seppi,7-6(2) 7-6(4) 7-6(4),,,,,,,,,,,,,,,,,,,,melbourne_hard__a seppi__s wawrinka,melbourne_hard__R16__a seppi__s wawrinka,melbourne__a seppi__s wawrinka,melbourne__R16__a seppi__s wawrinka,melbourne_hard,melbourne,a seppi__s wawrinka,R16,104527,4.0,,Stan Wawrinka,R,183.0,SUI,31.8,104312,,,Andreas Seppi,R,190.0,ITA,32.9,5,163.0,17.0,2.0,117.0,66.0,53.0,34.0,18.0,2.0,4.0,12.0,3.0,136.0,84.0,62.0,26.0,18.0,7.0,9.0,4.0,5155.0,89.0,635.0,s wawrinka,a seppi
2017-01-16,Australian Open,Hard,R16,Jo-Wilfried Tsonga,Daniel Evans,6-7(4) 6-2 6-4 6-4,,,,,,,,,,,,,,,,,,,,melbourne_hard__d evans__j tsonga,melbourne_hard__R16__d evans__j tsonga,melbourne__d evans__j tsonga,melbourne__R16__d evans__j tsonga,melbourne_hard,melbourne,d evans__j tsonga,R16,104542,12.0,,Jo-Wilfried Tsonga,R,188.0,FRA,31.7,105554,,,Daniel Evans,R,175.0,GBR,26.6,5,173.0,17.0,2.0,122.0,81.0,66.0,25.0,20.0,4.0,4.0,8.0,11.0,143.0,100.0,73.0,16.0,20.0,10.0,14.0,12.0,2505.0,51.0,886.0,j tsonga,d evans
2017-01-16,Australian Open,Hard,R16,Rafael Nadal,Gael Monfils,6-3 6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,melbourne_hard__g monfils__r nadal,melbourne_hard__R16__g monfils__r nadal,melbourne__g monfils__r nadal,melbourne__R16__g monfils__r nadal,melbourne_hard,melbourne,g monfils__r nadal,R16,104745,9.0,,Rafael Nadal,L,185.0,ESP,30.6,104792,6.0,,Gael Monfils,R,193.0,FRA,30.3,5,175.0,2.0,1.0,101.0,74.0,53.0,17.0,19.0,3.0,6.0,15.0,10.0,130.0,76.0,50.0,24.0,19.0,11.0,17.0,9.0,3195.0,6.0,3625.0,r nadal,g monfils
2017-01-16,Australian Open,Hard,R16,Milos Raonic,Roberto Bautista Agut,7-6(6) 3-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,melbourne_hard__m raonic__r bautista agut,melbourne_hard__R16__m raonic__r bautista agut,melbourne__m raonic__r bautista agut,melbourne__R16__m raonic__r bautista agut,melbourne_hard,melbourne,m raonic__r bautista agut,R16,105683,3.0,,Milos Raonic,R,196.0,CAN,26.0,105138,13.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,5,171.0,33.0,9.0,113.0,73.0,59.0,19.0,19.0,7.0,10.0,9.0,4.0,127.0,88.0,56.0,21.0,19.0,11.0,16.0,3.0,5290.0,14.0,2350.0,m raonic,r bautista agut
2017-01-16,Australian Open,Hard,R16,David Goffin,Dominic Thiem,5-7 7-6(4) 6-2 6-2,,,,,,,,,,,,,,,,,,,,melbourne_hard__d goffin__d thiem,melbourne_hard__R16__d goffin__d thiem,melbourne__d goffin__d thiem,melbourne__R16__d goffin__d thiem,melbourne_hard,melbourne,d goffin__d thiem,R16,105676,11.0,,David Goffin,R,180.0,BEL,26.1,106233,8.0,,Dominic Thiem,R,185.0,AUT,23.3,5,163.0,15.0,2.0,125.0,70.0,51.0,33.0,20.0,3.0,6.0,13.0,5.0,128.0,77.0,53.0,23.0,20.0,9.0,15.0,11.0,2750.0,8.0,3415.0,d goffin,d thiem
